protein_id,fc_1_v_3
Clo1313_0781,-1.871495
Clo1313_0783,1.622765
Clo1313_0786,0.645868
Clo1313_0793,-0.745184375000001
Clo1313_0795,-1.06854625
Clo1313_0804,-7.39783
Clo1313_0805,-0.988038749999998
Clo1313_0815,0.1417675
Clo1313_0817,-3.944315
Clo1313_0829,-2.37371375
Clo1313_0836,-1.176783625
Clo1313_0837,-0.012686249999998
Clo1313_0844,4.667845
Clo1313_0857,1.25825796875
Clo1313_0863,-0.106937500000001
Clo1313_0865,0.1914175
Clo1313_0867,0.140790000000003
Clo1313_0872,0.135741250000002
Clo1313_0873,0.039271249999999
Clo1313_0875,-0.2499175
Clo1313_0880,-2.08745125
Clo1313_0883,0.3321325
Clo1313_0884,-1.2822771875
Clo1313_0890,-0.310568125
Clo1313_0892,0.518218749999996
Clo1313_0893,-0.141387499999999
Clo1313_0896,-0.344414374999999
Clo1313_0897,-1.186487
Clo1313_0898,-1.5689545
Clo1313_0901,-0.070594999999997
Clo1313_0903,-0.162080000000003
Clo1313_0905,0.4790625
Clo1313_0907,-0.084395000000001
Clo1313_0908,-1.27374125
Clo1313_0909,-4.0615975
Clo1313_0911,-3.5593
Clo1313_0912,4.6092045
Clo1313_0913,-6.35568625
Clo1313_0914,-3.4064875
Clo1313_0915,-0.658465
Clo1313_0920,-3.3654
Clo1313_0922,-0.50346
Clo1313_0923,-0.992944999999999
Clo1313_0924,-7.6676175
Clo1313_0925,-0.026318046874998
Clo1313_0929,0.231029999999997
Clo1313_0931,0.299379999999999
Clo1313_0932,-5.79537
Clo1313_0933,-0.321345000000001
Clo1313_0934,-0.850076250000001
Clo1313_0935,-0.595356250000002
Clo1313_0939,0.1227725
Clo1313_0940,1.377634375
Clo1313_0941,4.273615
Clo1313_0943,-0.78837
Clo1313_0944,0.173762500000002
Clo1313_0945,2.422038
Clo1313_0949,-0.690879687500001
Clo1313_0950,-0.077816250000002
Clo1313_0952,5.6313225
Clo1313_0954,-2.73849375
Clo1313_0955,-0.3061425
Clo1313_0960,6.2540025
Clo1313_0966,1.2116475
Clo1313_0972,-0.073085000000003
Clo1313_0974,-1.34140125
Clo1313_0979,1.865555
Clo1313_0980,3.347855
Clo1313_0983,0.89086
Clo1313_0988,-0.510637499999998
Clo1313_0989,0.051018750000001
Clo1313_0993,0.579390312499999
Clo1313_0994,-0.69000125
Clo1313_0997,0.342770624999996
Clo1313_0998,-3.2469275
Clo1313_1001,-5.99046625
