icbi_id,icbi_rxn,isg_rxn,isg_id,icbi_mb,curated_rxn,curation_notes
ASNTRAT,asptrna_asn_c + atp_c + gln__L_c + h2o_c --> adp_c + asntrna_c + glu__L_c + h_c + pi_c,asptrna_asn_c + atp_c + gln__L_c + h2o_c --> adp_c + asntrna_c + glu__L_c + h_c + pi_c,ASNTRAT,"{'charge': 3.0, 'C': -5.0, 'H': -10.0, 'N': 5.0, 'O': -13.0, 'P': -2.0, 'R': -2.0}",asptrna_asn_c + atp_c + gln__L_c + h2o_c --> adp_c + asntrna_c + glu__L_c + h_c + pi_c,
ATAS,45.0 ala__D_c + 45.0 atp_c + 45.0 cdpglyc_c + 45.0 h2o_c + uacgam_c + uacmam_c --> 45.0 amp_c + 45.0 cmp_c + glygly_tea_c + 136.0 h_c + 45.0 ppi_c + udp_c + ump_c,45.0 ala__D_c + 45.0 atp_c + 45.0 cdpglyc_c + 45.0 h2o_c + uacgam_c + uacmam_c --> agly_tea_c + 45.0 amp_c + 45.0 cmp_c + 90.0 h_c + 45.0 ppi_c + udp_c + ump_c,ATAS,"{'H': -88.0, 'O': -44.0}",45.0 ala__D_c + 45.0 atp_c + 45.0 cdpglyc_c + 45.0 h2o_c + uacgam_c + uacmam_c --> agly_tea_c + 45.0 amp_c + 45.0 cmp_c + 90.0 h_c + 45.0 ppi_c + udp_c + ump_c,
BC13FAS,3mbACP_c + 7.0 h_c + 4.0 malACP_c + 8.0 nadph_c <=> 5.0 ACP_c + branch_c13_fa_c + 4.0 co2_c + 3.0 h2o_c + 8.0 nadp_c,3mbACP_c + 11.0 h_c + 4.0 malACP_c + 8.0 nadph_c <=> 5.0 ACP_c + branch_c13_fa_c + 4.0 co2_c + 3.0 h2o_c + 8.0 nadp_c,BC13FAS,"{'charge': 1.0, 'C': 11.0, 'H': 18.0, 'O': 19.0}",3mbACP_c + 11.0 h_c + 4.0 malACP_c + 8.0 nadph_c <=> 5.0 ACP_c + branch_c13_fa_c + 4.0 co2_c + 3.0 h2o_c + 8.0 nadp_c,
BC17FAS,3mbACP_c + 11.0 h_c + 6.0 malACP_c + 12.0 nadph_c <=> 7.0 ACP_c + branch_c17_fa_c + 6.0 co2_c + 5.0 h2o_c + 12.0 nadp_c,3mbACP_c + 17.0 h_c + 6.0 malACP_c + 12.0 nadph_c <=> 7.0 ACP_c + branch_c17_fa_c + 6.0 co2_c + 5.0 h2o_c + 12.0 nadp_c,BC17FAS,"{'charge': 1.0, 'C': 7.0, 'H': 10.0, 'O': 19.0}",3mbACP_c + 17.0 h_c + 6.0 malACP_c + 12.0 nadph_c <=> 7.0 ACP_c + branch_c17_fa_c + 6.0 co2_c + 5.0 h2o_c + 12.0 nadp_c,
CDGUNPD,35cdgmp_c + h2o_c <=> 5pg35pg_c + h_c,35cdgmp_c + h2o_c <=> 5pg35pg_c + h_c,CDGUNPD,"{'charge': -1.0, 'C': 6.0, 'H': 17.0, 'N': -3.0, 'O': 2.0, 'P': 1.0, 'S': 1.0}",35cdgmp_c + h2o_c <=> 5pg35pg_c + h_c,
DAGS,1ag3p_gen_c + 0.022 branch_c13_fa_c + 0.133 branch_c17_fa_c + 0.051 deceACP_c + 199.155 h_c + 0.552 hexdACP_c + 0.062 ocdACP_c + 0.054 tdeceACP_c + 0.125 tpalm2eACP_c <=> 0.844 ACP_c + 1.33226762955019e-15 h2o_c + pa_gen_c,1ag3p_gen_c + 0.022 branch_c13_fa_c + 0.133 branch_c17_fa_c + 0.051 deceACP_c + 0.552 hexdACP_c + 0.062 ocdACP_c + 0.054 tdeceACP_c + 0.125 tpalm2eACP_c <=> 0.844 ACP_c + 1.3322676295501878e-15 h2o_c + pa_gen_c,DAGS,"{'charge': -0.15499999999998537, 'C': -1879.9339999999997, 'H': -3859.478, 'O': -696.099, 'P': -99.00000000000001, 'N': -2.220446049250313e-16, 'R': 2.0, 'S': -1.1102230246251565e-16}",1ag3p_gen_c + 0.022 branch_c13_fa_c + 0.133 branch_c17_fa_c + 0.051 deceACP_c + 0.552 hexdACP_c + 0.062 ocdACP_c + 0.054 tdeceACP_c + 0.125 tpalm2eACP_c <=> 0.844 ACP_c + 1.3322676295501878e-15 h2o_c + pa_gen_c,
DHNAOT4,dhna_c + octdp_c --> 2dmmq_gen_c + co2_c + ppi_c,dhna_c + octdp_c --> 2dmmq_gen_c + co2_c + ppi_c,DHNAOT4,"{'C': -30.0, 'H': -50.0}",dhna_c + octdp_c --> 2dmmq_gen_c + co2_c + ppi_c,
EAR100x,deceACP_c + nad_c <=> h_c + nadh_c + tdec2eACP_c,deceACP_c + nad_c <=> h_c + nadh_c + tdec2eACP_c,EAR100x,{'H': -1.0},deceACP_c + nad_c <=> h_c + nadh_c + tdec2eACP_c,
EAR120x,ddeacp_c + nad_c <=> h_c + nadh_c + tddec2eACP_c,ddeacp_c + nad_c <=> h_c + nadh_c + tddec2eACP_c,EAR120x,{'H': -1.0},ddeacp_c + nad_c <=> h_c + nadh_c + tddec2eACP_c,
EAR140x,nad_c + tdeceACP_c <=> h_c + nadh_c + tmrs2eACP_c,nad_c + tdeceACP_c <=> h_c + nadh_c + tmrs2eACP_c,EAR140x,{'H': -1.0},nad_c + tdeceACP_c <=> h_c + nadh_c + tmrs2eACP_c,
EAR40x,butACP_c + nad_c <=> but2eACP_c + nadh_c,butACP_c + nad_c <=> but2eACP_c + h_c + nadh_c,EAR40x,{'H': -2.0},butACP_c + nad_c <=> but2eACP_c + h_c + nadh_c,
EAR60x,hexACP_c + nad_c <=> nadh_c + thex2eACP_c,hexACP_c + nad_c <=> h_c + nadh_c + thex2eACP_c,EAR60x,{'H': -1.0},hexACP_c + nad_c <=> h_c + nadh_c + thex2eACP_c,
FASOD,nadh_c + toctd2eACP_c <=> nad_c + ocdACP_c,h_c + nadh_c + toctd2eACP_c <=> nad_c + ocdACP_c,FASOD,{'H': 2.0},h_c + nadh_c + toctd2eACP_c <=> nad_c + ocdACP_c,
FASOXST,hexdACP_c + malACP_c --> 3osteACP_c + ACP_c + co2_c,h_c + hexdACP_c + malACP_c --> 3osteACP_c + ACP_c + co2_c,FASOXST,{'H': 1.0},h_c + hexdACP_c + malACP_c --> 3osteACP_c + ACP_c + co2_c,
FE2OR,2.0 fe3_c + nadh_c --> 2 fe2_c + h_c + nad_c,2.0 fe3_c + nadh_c --> 2.0 fe2_c + h_c + nad_c,FE2OR,{'charge': -4.0},2.0 fe3_c + nadh_c --> 2.0 fe2_c + h_c + nad_c,
GALAS,24.0 cdpglyc_c + dg12dg_c + 24.0 uacgam_c --> aglu_lta_c + 24.0 cmp_c + 2400.0 h_c + 24.0 udp_c,24.0 cdpglyc_c + dg12dg_c + 24.0 uacgam_c --> aglu_lta_c + 24.0 cmp_c + 48.0 h_c + 24.0 udp_c,GALAS,"{'C': 26136.0, 'H': 47520.0, 'N': 2376.0, 'O': 23760.0, 'P': 2376.0}",24.0 cdpglyc_c + dg12dg_c + 24.0 uacgam_c --> aglu_lta_c + 24.0 cmp_c + 48.0 h_c + 24.0 udp_c,
GDAGS,dag_gen_c + 2.0 udpg_c <=> dg12dg_c + 2.0 udp_c,dag_gen_c + 2.0 udpg_c <=> dg12dg_c + 2.0 h_c + 2.0 udp_c,GDAGS,"{'C': 4619.0, 'H': 8646.0, 'O': 1485.0, 'R': -2.0}",dag_gen_c + 2.0 udpg_c <=> dg12dg_c + 2.0 h_c + 2.0 udp_c,
GDAGS2,dag_gen_c + 3.0 udpg_c <=> tg12dg_c + 3.0 udp_c,dag_gen_c + 3.0 udpg_c <=> 3.0 h_c + tg12dg_c + 3.0 udp_c,GDAGS2,"{'C': 5213.0, 'H': 9636.0, 'O': 1980.0, 'R': -2.0}",dag_gen_c + 3.0 udpg_c <=> 3.0 h_c + tg12dg_c + 3.0 udp_c,
GLAS,24.0 cdpglyc_c + dg12dg_c + 24.0 udpg_c --> 24.0 cmp_c + glu_lta_c + 2400.0 h_c + 24.0 udp_c,24.0 cdpglyc_c + dg12dg_c + 24.0 udpg_c --> 24.0 cmp_c + glu_lta_c + 48.0 h_c + 24.0 udp_c,GLAS,"{'C': 21384.0, 'H': 40392.0, 'O': 23760.0, 'P': 2376.0}",24.0 cdpglyc_c + dg12dg_c + 24.0 udpg_c --> 24.0 cmp_c + glu_lta_c + 48.0 h_c + 24.0 udp_c,
GLCP,glycogen_c + pi_c --> g1p_c,glycogen_c + pi_c --> g1p_c,GLCP,"{'C': -18.0, 'H': -32.0, 'O': -16.0}",glycogen_c + pi_c --> g1p_c,
GLCS1,adpglc_c --> adp_c + glycogen_c,adpglc_c --> adp_c + glycogen_c + h_c,GLCS1,"{'C': 18.0, 'H': 32.0, 'O': 16.0}",adpglc_c --> adp_c + glycogen_c + h_c,
GLNTRAT,atp_c + gln__L_c + glutrna_gln_c + h2o_c --> adp_c + glntrna_c + glu__L_c + h_c + pi_c,atp_c + gln__L_c + glutrna_gln_c + h2o_c --> adp_c + glntrna_c + glu__L_c + h_c + pi_c,GLNTRAT,"{'charge': 3.0, 'C': -10.0, 'H': -14.0, 'O': -13.0, 'P': -2.0, 'R': -1.0}",atp_c + gln__L_c + glutrna_gln_c + h2o_c --> adp_c + glntrna_c + glu__L_c + h_c + pi_c,
GLUTAS,45.0 cdpglyc_c + 45.0 h2o_c + 44.0 h_c + uacgam_c + uacmam_c + 45.0 udpg_c --> 45.0 cmp_c + glygly_tea_c + udp_c + ump_c,45.0 cdpglyc_c + 45.0 h2o_c + uacgam_c + uacmam_c + 45.0 udpg_c --> 45.0 cmp_c + glygly_tea_c + 90.0 h_c + udp_c + ump_c,GLUTAS,"{'C': -540.0, 'H': -943.0, 'N': -45.0, 'O': -764.0, 'P': -90.0}",45.0 cdpglyc_c + 45.0 h2o_c + uacgam_c + uacmam_c + 45.0 udpg_c --> 45.0 cmp_c + glygly_tea_c + 90.0 h_c + udp_c + ump_c,
GLYTAS,45.0 cdpglyc_c + uacgam_c + uacmam_c --> 45.0 cmp_c + gly_tea_c + 46.0 h_c + udp_c + ump_c,45.0 cdpglyc_c + uacgam_c + uacmam_c --> cmp_c + gly_tea_c + h_c + udp_c + ump_c,GLYTAS,"{'H': 4.0, 'O': 2.0}",45.0 cdpglyc_c + uacgam_c + uacmam_c --> cmp_c + gly_tea_c + h_c + udp_c + ump_c,
HDHL,h2o_c + hexdACP_c --> ACP_c + h_c + hdca_c,h2o_c + hexdACP_c --> ACP_c + h_c + hdca_c,HDHL,{'H': 1.0},h2o_c + hexdACP_c --> ACP_c + h_c + hdca_c,
HPHBHL,4hp4hob_c + h2o_c <=> 4hbz_c + h_c + hqn_c,4hp4hob_c + h2o_c <=> 4hbz_c + h_c + hqn_c,HPHBHL,"{'charge': 3.0, 'C': -18.0, 'H': -32.0, 'O': -12.0, 'N': -6.0, 'P': -1.0}",4hp4hob_c + h2o_c <=> 4hbz_c + h_c + hqn_c,
IPDPTA,dmpp_c + h_c + trna_c <=> 6ipadtrna_c + ppi_c,dmpp_c + trna_c <=> 6ipadtrna_c + ppi_c,IPDPTA,"{'charge': -2.0, 'C': -5.0, 'H': -10.0}",dmpp_c + trna_c <=> 6ipadtrna_c + ppi_c,
LAS,24.0 cdpglyc_c + dg12dg_c --> 24.0 cmp_c + 2400.0 h_c + lta_c,24.0 cdpglyc_c + dg12dg_c --> 24.0 cmp_c + 24.0 h_c + lta_c,LAS,"{'C': 7128.0, 'H': 16632.0, 'O': 11880.0, 'P': 2376.0}",24.0 cdpglyc_c + dg12dg_c --> 24.0 cmp_c + 24.0 h_c + lta_c,
