bigg,ms
prlp,cpd02991
dad_5,cpd03091
3hhdcoa,cpd03113
3htdcoa,cpd03115
3hddcoa,cpd03116
3hocoa,cpd03120
3hhcoa,cpd03122
hx2coa,cpd03125
hdd2coa,cpd03126
td2coa,cpd03127
dc2coa,cpd03129
oc2coa,cpd03130
selmeth,cpd03163
din,cpd03279
3spyr,cpd03285
acamoxm,cpd03289
pppn,cpd03343
aproa,cpd01504
selcys,cpd03389
seasmet,cpd03392
actACP,cpd11488
butACP,cpd11464
hexACP,cpd11472
octeACP,cpd11825
tmrs2eACP,cpd11467
tpalm2eACP,cpd11477
cbi,cpd03422
rdmbzi,cpd03423
srch,cpd15658
iasp,cpd03470
uGgl,cpd03490
uaaGgla,cpd03491
uagmda,cpd03494
uaagmda,cpd03495
btamp,cpd03517
n4abutn,cpd03529
2ahbut,cpd00498
23dhmp,cpd02535
ohpb,cpd03606
phthr,cpd03607
4hthr,cpd03608
gam1p,cpd03671
dimp,cpd03704
sertrna_sec,cpd15565
co1dam,cpd03915
adcobdam,cpd03916
adcobhex,cpd03917
adocbi,cpd03918
adocbip,cpd03919
agdpcbi,cpd03920
pac,cpd00430
4adcho,cpd08210
2me4p,cpd08286
4c2me,cpd08287
2p4c2me,cpd08288
dxyl5p,cpd08289
2mecdp,cpd08301
h2mb4p,cpd08615
dtdp4d6dg,cpd00521
3hadpcoa,cpd09844
ibutoh,cpd10408
fe2,cpd10515
fe3,cpd10516
db4p,cpd11225
5caiz,cpd11310
2mbcoa,cpd00760
udpLa4n,cpd15577
udpLa4o,cpd15578
3ohodcoa,cpd14935
3hoctaACP,cpd15371
udcpp,cpd00286
ca2,cpd00063
k,cpd00205
mg2,cpd00254
s7p,cpd00238
cdpglyc,cpd00402
gdpfuc,cpd00272
hista,cpd00312
12ppd__R,cpd01861
pacald,cpd00464
fuc__L,cpd00751
orot5p,cpd00810
gdpddman,cpd00900
4per,cpd02147
uaaGgtla,cpd03492
glycogen,cpd00155
na1,cpd00971
2mppal,cpd16874
2mbald,cpd01499
2mbtoh,cpd16873
3mbald,cpd04534
s17bp,cpd00349
glceq,glceq
cell6,cpd03719
cell5,cpd03720
cell4,cpd01376
cell3,cpd03721
