bigg,ms
ACONT,ACONT_c0
PPNDH,PPNDH_c0
UGE2,UGE2_c0
HPYRRx,HPYRRx_c0
ASPCT,ASPCT_c0
OCBT,OCBT_c0
MTAP,MTAP_c0
NBAH,NBAH_c0
THRS,THRS_c0
PGK,PGK_c0
PGLYDH,PGLYDH_c0
GLYPT,GLYPT_c0
PGM,PGM_c0
RPE,RPE_c0
2D3DGLNR,2D3DGLNR_c0
DADK,DADK_c0
DATCY,DATCY_c0
DATUP,DATUP_c0
PUNP1,PUNP1_c0
NTD5,NTD5_c0
ABGPT,ABGPT_c0
ACOATA,ACOATA_c0
ACPS1,ACPS1_c0
MCOATA,MCOATA_c0
XYLK,XYLK_c0
MTHFC,MTHFC_c0
DMATT,DMATT_c0
DCMPDA,DCMPDA_c0
NTD3pp,NTD3pp_c0
CYTK2n,CYTK2n_c0
CHRS,CHRS_c0
CHORM,CHORM_c0
ADCS,ADCS_c0
NAMNPP,NAMNPP_c0
PPND,PPND_c0
GLYALDDr,GLYALDDr_c0
HSDxi,HSDxi_c0
HSDH,HSDH_c0
HSST,HSST_c0
CDGPT,CDGPT_c0
ACNPLYS,ACNPLYS_c0
PMANM,PMANM_c0
MPAKI,MPAKI_c0
DPHS,DPHS_c0
NTPP1,NTPP1_c0
NTPTP1,NTPTP1_c0
NDPK5,NDPK5_c0
PPCOAC,PPCOAC_c0
PUNP5,PUNP5_c0
DHORD_NAD,DHORD_NAD_c0
QUINDH,QUINDH_c0
CYTD,CYTD_c0
DGTUP,DGTUP_c0
XYLTD_D,XYLTD_D_c0
SPMS,SPMS_c0
SALCCM,SALCCM_c0
ARGSS,ARGSS_c0
NTD8,NTD8_c0
PUNP4,PUNP4_c0
HBCO,HBCO_c0
AABHH,AABHH_c0
DHR,DHR_c0
RDXR,RDXR_c0
GRTT,GRTT_c0
RNTR1,RNTR1_c0
TRDR,TRDR_c0
RNDR1n,RNDR1n_c0
RNDR4n,RNDR4n_c0
RNDR2,RNDR2_c0
RNTR2,RNTR2_c0
PAPSR,PAPSR_c0
RNTR3,RNTR3_c0
RNTR4,RNTR4_c0
RNDR3,RNDR3_c0
CLS2,CLS2_c0
AGDC,AGDC_c0
PGAMT,PGAMT_c0
FRTT,FRTT_c0
F6PPT,F6PPT_c0
NTD6,NTD6_c0
DGTCY,DGTCY_c0
NDPK4,NDPK4_c0
DTTGY,DTTGY_c0
DTTUP,DTTUP_c0
DUTPDP,DUTPDP_c0
TMDS,TMDS_c0
PUNP3,PUNP3_c0
ILETA,ILETA_c0
DHFOR,DHFOR_c0
DHFOR2,DHFOR2_c0
DHFS,DHFS_c0
PPROR,PPROR_c0
FCLPA,FCLPA_c0
G1SAT,G1SAT_c0
ORNTAC,ORNTAC_c0
ACOTA,ACOTA_c0
ASAD,ASAD_c0
ASAHL,ASAHL_c0
PNP,PNP_c0
NP1,NP1_c0
PYNP1,PYNP1_c0
PUNP7,PUNP7_c0
FTCL,FTCL_c0
NMNR,NMNR_c0
RNMK,RNMK_c0
DCTPD,DCTPD_c0
NDPK7,NDPK7_c0
DCTUP,DCTUP_c0
NDPK6,NDPK6_c0
DUTUP,DUTUP_c0
TRPS3,TRPS3_c0
DCTCP,DCTCP_c0
DUTCP,DUTCP_c0
CTINBL,CTINBL_c0
SKDH,SKDH_c0
CDPGLC46DH,CDPGLC46DH_c0
AATC,AATC_c0
PANTS,PANTS_c0
DURIPP,DURIPP_c0
DCYTD,DCYTD_c0
PACCOAL,PACCOAL_c0
PUNP2,PUNP2_c0
3SALATA,3SALATA_c0
ACGK,ACGK_c0
ALDD20x,ALDD20x_c0
UDPG2DGT,UDPG2DGT_c0
NTD10,NTD10_c0
NTPP11,NTPP11_c0
SERH,SERH_c0
DAPE,DAPE_c0
PUNP6,PUNP6_c0
PPM2,PPM2_c0
DHDOR,DHDOR_c0
UAMAGS,UAMAGS_c0
UAAGDS,UAAGDS_c0
SHCHF,SHCHF_c0
SPRMS,SPRMS_c0
TYRTRS,TYRTRS_c0
BDOR,BDOR_c0
ACLDC,ACLDC_c0
APNPT,APNPT_c0
NNAT,NNAT_c0
HISOR,HISOR_c0
HISTP,HISTP_c0
PNTK,PNTK_c0
ECOAH1,ECOAH1_c0
APPAT,APPAT_c0
ALATRS,ALATRS_c0
APL,APL_c0
KARA1,KARA1_c0
CPHL,CPHL_c0
DHPS,DHPS_c0
DHPS2_1,DHPS2_1_c0
DHQS,DHQS_c0
DQDH,DQDH_c0
MCLORi,MCLORi_c0
13PPDH,13PPDH_c0
SLCYSS,SLCYSS_c0
HPS,HPS_c0
UPP3S_1,UPP3S_1_c0
DBTS,DBTS_c0
UACMUOR,UACMUOR_c0
UAPGR,UAPGR_c0
UAMAS,UAMAS_c0
UPP3MT,UPP3MT_c0
AOXSr,AOXSr_c0
AHSL,AHSL_c0
AMAOTr,AMAOTr_c0
PFK_2,PFK_2_c0
PFK_4,PFK_4_c0
PFK_5,PFK_5_c0
PFK_6,PFK_6_c0
HSTPT,HSTPT_c0
SHSL1,SHSL1_c0
PPCDC,PPCDC_c0
TBALOR,TBALOR_c0
G5SD,G5SD_c0
NT5C,NT5C_c0
NICRNS,NICRNS_c0
NNDPR,NNDPR_c0
BGGHL,BGGHL_c0
CDP4D6DGLCRx,CDP4D6DGLCRx_c0
CDP4D6DGLCRx2,CDP4D6DGLCRx2_c0
GTPDPDP,GTPDPDP_c0
AGPR,AGPR_c0
IGPDH,IGPDH_c0
APRAUR,APRAUR_c0
DHPPDA2,DHPPDA2_c0
PSCVT,PSCVT_c0
DHNPA2r,DHNPA2r_c0
IGPS,IGPS_c0
PRAI,PRAI_c0
NDPK10,NDPK10_c0
NTPP10,NTPP10_c0
ARGTRS,ARGTRS_c0
ASNTRS,ASNTRS_c0
CYSTRS,CYSTRS_c0
GLNTRS,GLNTRS_c0
GLYTRS,GLYTRS_c0
HISTRS,HISTRS_c0
ILETRS,ILETRS_c0
LEUTRS,LEUTRS_c0
LYSTRS,LYSTRS_c0
METTRS,METTRS_c0
PHETRS,PHETRS_c0
PROTRS,PROTRS_c0
SERTRS,SERTRS_c0
THRTRS,THRTRS_c0
TRPTRS,TRPTRS_c0
VALTRS,VALTRS_c0
ALDH,ALDH_c0
MMHL,MMHL_c0
CITCIb,CITCIb_c0
GLNTRAT,GLNTRAT_c0
HDCDH,HDCDH_c0
SHCHD2,SHCHD2_c0
IPPMIb,IPPMIb_c0
IPPMIa,IPPMIa_c0
PRATPP,PRATPP_c0
PRAMPC,PRAMPC_c0
IMACTD,IMACTD_c0
GLUTRR,GLUTRR_c0
AMUAAH,AMUAAH_c0
ECH_3hivcoa,ECH_3hivcoa_c0
PPRGL,PPRGL_c0
NNDMBRT,NNDMBRT_c0
ECOAH5,ECOAH5_c0
PSAT,PSAT_c0
DHDRPy,DHDRPy_c0
ECOAH9ir,ECOAH9ir_c0
PRAIS,PRAIS_c0
ASNTRAT,ASNTRAT_c0
ACGNMCT,ACGNMCT_c0
PPNCL3,PPNCL3_c0
PPNCL2,PPNCL2_c0
PTHPS,PTHPS_c0
QULNS,QULNS_c0
GARFT,GARFT_c0
FGFTh,FGFTh_c0
KAS14,KAS14_c0
ADPT2,ADPT2_c0
APCPT,APCPT_c0
R04399,R04399_c0
MTRI,MTRI_c0
IPMD,IPMD_c0
3HAD40_1,3HAD40_1_c0
EAR40x,EAR40x_c0
ACNAM9PL,ACNAM9PL_c0
KARI_23dhmb,KARI_23dhmb_c0
DLDLBT,DLDLBT_c0
PRFGS,PRFGS_c0
ADAPAT,ADAPAT_c0
SDPTA,SDPTA_c0
3OAR40,3OAR40_c0
3OAR100,3OAR100_c0
3HAD100,3HAD100_c0
3OAR80,3OAR80_c0
3HAD80,3HAD80_c0
3OAR160,3OAR160_c0
3HAD160,3HAD160_c0
IG3PS,IG3PS_c0
ADSL2r,ADSL2r_c0
AICART,AICART_c0
3OAR140,3OAR140_c0
3HAD140,3HAD140_c0
UGLDDS2,UGLDDS2_c0
PRASCSi,PRASCSi_c0
RZ5PP,RZ5PP_c0
UGMDDS,UGMDDS_c0
AHDTPHL,AHDTPHL_c0
PRMICI,PRMICI_c0
ACAS_2ahbut,ACAS_2ahbut_c0
EAR120x,EAR120x_c0
3OAS140,3OAS140_c0
ECOAH7,ECOAH7_c0
ECOAH6,ECOAH6_c0
ECOAH4,ECOAH4_c0
ECOAH3,ECOAH3_c0
ECOAH2,ECOAH2_c0
KLCGH,KLCGH_c0
AHSERL4,AHSERL4_c0
34DHOXPEGOX,34DHOXPEGOX_c0
HIALOR,HIALOR_c0
CGGH,CGGH_c0
3OAS60,3OAS60_c0
3OAR60,3OAR60_c0
3HAD60,3HAD60_c0
EAR60x,EAR60x_c0
3OAS80,3OAS80_c0
EAR80x,EAR80x_c0
3OAS100,3OAS100_c0
EAR100x,EAR100x_c0
3OAS120,3OAS120_c0
3OAR120,3OAR120_c0
3HAD120,3HAD120_c0
EAR140x,EAR140x_c0
3OAS160,3OAS160_c0
HACPMCACT,HACPMCACT_c0
BDG2HCGHD,BDG2HCGHD_c0
UAGPT3,UAGPT3_c0
FANTPDH,FANTPDH_c0
APNTPM,APNTPM_c0
NABTNO,NABTNO_c0
EHGLAT,EHGLAT_c0
KARI_23dhmp,KARI_23dhmp_c0
KARI,KARI_c0
KARI_3hmoa,KARI_3hmoa_c0
PP2MO,PP2MO_c0
OHPBAT,OHPBAT_c0
4HTHRS,4HTHRS_c0
NO2OR,NO2OR_c0
CYRDAAT,CYRDAAT_c0
ADOCBIK,ADOCBIK_c0
ACBIPGT,ACBIPGT_c0
ADOCBLS,ADOCBLS_c0
G1PACT,G1PACT_c0
SMLSHL,SMLSHL_c0
ASPTRS,ASPTRS_c0
GLUTRS,GLUTRS_c0
ECOAH2c2,ECOAH2c2_c0
R05602,R05602_c0
DHNAOT4,DHNAOT4_c0
UPPPHL,UPPPHL_c0
UDCP,UDCP_c0
UDCPT,UDCPT_c0
CMS,CMS_c0
CDPMEK,CDPMEK_c0
DXPS,DXPS_c0
MCS,MCS_c0
UAGPT2,UAGPT2_c0
HTHRPDH,HTHRPDH_c0
DXRI,DXRI_c0
IPDOR,IPDOR_c0
LACZ,LACZ_c0
PYLALDOX,PYLALDOX_c0
PAACOAL,PAACOAL_c0
HICHCOAL,HICHCOAL_c0
IPOCOAL,IPOCOAL_c0
CMIPDCOAL,CMIPDCOAL_c0
TMIPDCOAL,TMIPDCOAL_c0
UDCPDPS,UDCPDPS_c0
TDPGDH,TDPGDH_c0
TDPDRE,TDPDRE_c0
IPOHCOAL,IPOHCOAL_c0
ADCPS2,ADCPS2_c0
ADOCBIK2,ADOCBIK2_c0
SALMCCOAMT,SALMCCOAMT_c0
EGMEST,EGMEST_c0
PECGONCOAT,PECGONCOAT_c0
QUOR,QUOR_c0
SHOR,SHOR_c0
BHPR,BHPR_c0
UAGDH,UAGDH_c0
CPPPGO2,CPPPGO2_c0
NHMSCOAH,NHMSCOAH_c0
HMBPAL,HMBPAL_c0
HMNOR,HMNOR_c0
HCBPHAL,HCBPHAL_c0
NMOR,NMOR_c0
HOMBPAL,HOMBPAL_c0
HADCPCOAHL,HADCPCOAHL_c0
ADPCOAL,ADPCOAL_c0
OBTFL,OBTFL_c0
VOR2b,VOR2b_c0
MTHFO,MTHFO_c0
IDS2,IDS2_c0
CBIAT,CBIAT_c0
DB4PS,DB4PS_c0
ADCPS1,ADCPS1_c0
CLS,CLS_c0
CITMS,CITMS_c0
AIRC3,AIRC3_c0
THISAT,THISAT_c0
CYSDES,CYSDES_c0
LDAPAT,LDAPAT_c0
UDPKAAT,UDPKAAT_c0
RE0581R,RE0581R_c0
FASOXST,FASOXST_c0
3OAR18B,3OAR18B_c0
3HAD180,3HAD180_c0
FASOD,FASOD_c0
CPCOAL,CPCOAL_c0
GGT,GGT_c0
MHECOAHL,MHECOAHL_c0
IPDPS,IPDPS_c0
DMPPS,DMPPS_c0
SERTRS2,SERTRS2_c0
5FLURAPRT2,5FLURAPRT2_c0
6TINS5MPOR,6TINS5MPOR_c0
6TXAN5MPAML,6TXAN5MPAML_c0
RPYS,RPYS_c0
APCS,APCS_c0
VOR1b,VOR1b_c0
VOR3b,VOR3b_c0
GLYCK2,GLYCK2_c0
PGMT,PGMT_c0
HMBDPO,HMBDPO_c0
CDGUNPD,CDGUNPD_c0
MCMMT,MCMMT_c0
GLYHMT,GLYHMT_c0
HPHBHL,HPHBHL_c0
TMAMT,TMAMT_c0
HEPDPS,HEPDPS_c0
OCTDPS,OCTDPS_c0
TRNACCAT,TRNACCAT_c0
TRNACTPAT,TRNACTPAT_c0
TRNACTPAT2,TRNACTPAT2_c0
TRNAATPAT,TRNAATPAT_c0
BTDD_M,BTDD_M_c0
RNF,RNF_c0
H2ASE_syn,H2ASE_syn_c0
BIF,BIF_c0
FRNDPR2r,FRNDPR2r_c0
FBA,FBA_c0
MDH,MDH_c0
PGK2,PGK2_c0
TKT1,TKT1_c0
TKT2,TKT2_c0
ATPHs,ATPHs_c0
FE2OR,FE2OR_c0
ADMDC,ADMDC_c0
GLUR,GLUR_c0
UDPGD,UDPGD_c0
ORNDC,ORNDC_c0
PAL,PAL_c0
GMAND,GMAND_c0
CYSOR,CYSOR_c0
MMSDH,MMSDH_c0
OMPDC,OMPDC_c0
GLYCDH,GLYCDH_c0
R5PAT,R5PAT_c0
HISDC,HISDC_c0
PPYRDC,PPYRDC_c0
HDHL,HDHL_c0
E4PD,E4PD_c0
ORPT,ORPT_c0
F1PGT,F1PGT_c0
ACGAM6PS,ACGAM6PS_c0
DGK1,DGK1_c0
DTMPK,DTMPK_c0
PPDOy,PPDOy_c0
PPDHL,PPDHL_c0
ALDD19xr,ALDD19xr_c0
UAAGLS2,UAAGLS2_c0
DACPAT,DACPAT_c0
FCLK,FCLK_c0
PRAICL,PRAICL_c0
PERD,PERD_c0
THPAT,THPAT_c0
MS,MS_c0
GLNSP2,GLNSP2_c0
GFUCS,GFUCS_c0
UG6PGT,UG6PGT_c0
UDPGDC,UDPGDC_c0
3OACOAS,3OACOAS_c0
TRNAGLYUDAT,TRNAGLYUDAT_c0
TRNAALAUDAT,TRNAALAUDAT_c0
OMCDC,OMCDC_c0
AACPS3MBUT,AACPS3MBUT_c0
SKK,SKK_c0
G5SADs,G5SADs_c0
HSK,HSK_c0
GLCS1,GLCS1_c0
GLCP,GLCP_c0
AACPS3MCR,AACPS3MCR_c0
MCACPR,MCACPR_c0
BC13FAS,BC13FAS_c0
BC17FAS,BC17FAS_c0
MAGS,MAGS_c0
DAGS,DAGS_c0
DAGK,DAGK_c0
DAGP,DAGP_c0
CDGS,CDGS_c0
GDAGS,GDAGS_c0
GDAGS2,GDAGS2_c0
PGLP,PGLP_c0
PGLS,PGLS_c0
CDGSOT,CDGSOT_c0
PHSD,PHSD_c0
G3PCT,G3PCT_c0
GLAS,GLAS_c0
GALAS,GALAS_c0
ALLAS,ALLAS_c0
LAS,LAS_c0
PDGS,PDGS_c0
GLYTAS,GLYTAS_c0
ATAS,ATAS_c0
GLUTAS,GLUTAS_c0
MTAS,MTAS_c0
ATPM,ATPM_c0
CEPA5,CEPA5_c0
CEPA4,CEPA4_c0
CEPA3,CEPA3_c0
CEPA2,CEPA2_c0
NH3tabc,NH3tabc_c0
H20t,H20t_c0
CO2t,CO2t_c0
CEL2abc,CEL2abc_c0
CEL3abc,CEL3abc_c0
CEL4abc,CEL4abc_c0
CEL5abc,CEL5abc_c0
CEL6abc,CEL6abc_c0
UREAabc,UREAabc_c0
CA2abc,CA2abc_c0
MG2abc,MG2abc_c0
Kabc,Kabc_c0
SULabc,SULabc_c0
PIabc,PIabc_c0
FE3abc,FE3abc_c0
H2St1,H2St1_c0
ALAt2r,ALAt2r_c0
ARGt2r,ARGt2r_c0
ASNt2r,ASNt2r_c0
ASPt2r,ASPt2r_c0
CYSt2r,CYSt2r_c0
GLUt2r,GLUt2r_c0
GLNt2r,GLNt2r_c0
GLYt2r,GLYt2r_c0
HISt2r,HISt2r_c0
ILEt2r,ILEt2r_c0
LEUt2r,LEUt2r_c0
LYSt2r,LYSt2r_c0
METt2r,METt2r_c0
PHEt2r,PHEt2r_c0
PROt2r,PROt2r_c0
SERt2r,SERt2r_c0
THRt2r,THRt2r_c0
TRYt2r,TRYt2r_c0
TYRt2r,TYRt2r_c0
VALt2r,VALt2r_c0
ACt2r,ACt2r_c0
FORt2,FORt2_c0
D_LACt2,D_LACt2_c0
H2td,H2td_c0
PYRt2,PYRt2_c0
SUCCt2r,SUCCt2r_c0
MAL_Dt2,MAL_Dt2_c0
BTDt_M,BTDt_M_c0
BTDt_RR,BTDt_RR_c0
PYRGt,PYRGt_c0
IBUTOHt,IBUTOHt_c0
FUMt2r,FUMt2r_c0
XYLTt,XYLTt_c0
PPAna,PPAna_c0
RBFSb,RBFSb_c0
PPAKr,PPAKr_c0
MMCD,MMCD_c0
ICOR,ICOR_c0
PGI,PGI_c0
DHAD2,DHAD2_c0
FBA3,FBA3_c0
IBUTCOARx,IBUTCOARx_c0
ALCD23xi,ALCD23xi_c0
IBUTCOARy,IBUTCOARy_c0
ALCD23yi,ALCD23yi_c0
NA1abc,NA1abc_c0
Kt3,Kt3_c0
PIt,PIt_c0
PIt2,PIt2_c0
PNTOt2r,PNTOt2r_c0
PNTOt2r2,PNTOt2r2_c0
ETOHt,ETOHt_c0
DPR,DPR_c0
PROCOARx,PROCOARx_c0
ALCD3x,ALCD3x_c0
PROCOARx2,PROCOARx2_c0
ALCD23xi2,ALCD23xi2_c0
3MOPDC,3MOPDC_c0
ALCD22xi,ALCD22xi_c0
ALCD22xi2,ALCD22xi2_c0
4MOPDC,4MOPDC_c0
ALCD3MBOH,ALCD3MBOH_c0
ADCL,ADCL_c0
GTPCI,GTPCI_c0
AKP1,AKP1_c0
GCALDD,GCALDD_c0
DM_thf_c,DM_thf_c_c0
ASPO2,ASPO2_c0
ASPO2y,ASPO2y_c0
FUCabc,FUCabc_c0
GLCabc,GLCabc_c0
SBTabc,SBTabc_c0
Ex_sbt__D_e,Ex_sbt__D_e_e0
FRUabc,FRUabc_c0
CITt2,CITt2_c0
HSERTA,HSERTA_c0
BIOMASS_CELLULOSE,BIOMASS_CELLULOSE_c0
BIOMASS_CELLOBIOSE,BIOMASS_CELLOBIOSE_c0
BIOMASS_NO_CELLULOSOME,BIOMASS_NO_CELLULOSOME_c0
EX_h_e,EX_cpd00067_e0
EX_nh4_e,EX_cpd00013_e0
EX_h2o_e,EX_cpd00001_e0
EX_co2_e,EX_cpd00011_e0
EX_cellb_e,EX_cpd00158_e0
EX_urea_e,EX_cpd00073_e0
EX_ca2_e,EX_cpd00063_e0
EX_mg2_e,EX_cpd00254_e0
EX_k_e,EX_cpd00205_e0
EX_so4_e,EX_cpd00048_e0
EX_pi_e,EX_cpd00009_e0
EX_fe3_e,EX_cpd10516_e0
EX_h2s_e,EX_cpd00239_e0
EX_ala__L_e,EX_cpd00035_e0
EX_arg__L_e,EX_cpd00051_e0
EX_asn__L_e,EX_cpd00132_e0
EX_asp__L_e,EX_cpd00041_e0
EX_cys__L_e,EX_cpd00084_e0
EX_glu__L_e,EX_cpd00023_e0
EX_gln__L_e,EX_cpd00053_e0
EX_gly_e,EX_cpd00033_e0
EX_his__L_e,EX_cpd00119_e0
EX_ile__L_e,EX_cpd00322_e0
EX_leu__L_e,EX_cpd00107_e0
EX_lys__L_e,EX_cpd00039_e0
EX_met__L_e,EX_cpd00060_e0
EX_phe__L_e,EX_cpd00066_e0
EX_pro__L_e,EX_cpd00129_e0
EX_ser__L_e,EX_cpd00054_e0
EX_thr__L_e,EX_cpd00161_e0
EX_trp__L_e,EX_cpd00065_e0
EX_tyr__L_e,EX_cpd00069_e0
EX_val__L_e,EX_cpd00156_e0
EX_ac_e,EX_cpd00029_e0
EX_for_e,EX_cpd00047_e0
EX_lac__L_e,EX_cpd00159_e0
EX_h2_e,EX_cpd11640_e0
EX_pyr_e,EX_cpd00020_e0
EX_succ_e,EX_cpd00036_e0
EX_mal__L_e,EX_cpd00130_e0
EX_btd_RR_e,EX_cpd01947_e0
EX_5oxpro_e,EX_cpd01293_e0
EX_ibutoh_e,EX_cpd10408_e0
EX_fum_e,EX_cpd00106_e0
EX_xylt_e,EX_cpd00306_e0
EX_pnto__R_e,EX_cpd00644_e0
EX_etoh_e,EX_cpd00363_e0
EX_na1_e,EX_cpd00971_e0
EX_glceq_e,EX_glceq_e0
EX_g1p_e,EX_g1p_e_e0
EX_cell6_e,EX_cpd03719_e0
EX_cell5_e,EX_cpd03720_e0
EX_cell4_e,EX_cpd01376_e0
EX_cell3_e,EX_cpd03721_e0
